Trang,STT,Chức năng,Trạng thái,Hiện trạng,Giải pháp và Flow hoạt động
,44,Hiển thị hết hàng khi sản phẩm yêu thích hết hàng,Hoàn Thành,- Tự động hiển thị hết hàng trên các món đã hết tồn kho,"Giải pháp:
- So sánh tổng số lượng tồn kho totalStock của các biến thể sản phẩm khi render danh sách
Flow:
- Khi người dùng truy cập trang sản phẩm yêu thích -> Lấy danh sách wishlist từ DB
- Với mỗi item, truy xuất thuộc tính totalStock của sản phẩm đó
- Nếu totalStock <= 0, hiển thị tag ""Hết hàng"" màu xám đè lên sản phẩm và vô hiệu hóa nút thêm vào giỏ"
,45,Nút thêm sản phẩm vào giỏ hàng,Hoàn Thành,- Tích hợp nút thêm vào giỏ hàng ở ngay sản phẩm luôn để thêm vào giỏ hàng nhanh không cần phải bấm vào sản phẩm rồi mới thêm được sản phẩm vào giỏ hàng,"Giải pháp:
- Gửi AJAX POST lên /api/cart
Flow:
- Người dùng click nút ""Thêm vào giỏ"" dưới card sản phẩm yêu thích
- JS gọi AJAX POST /api/cart gửi kèm productId, variantId (mặc định lấy variant rẻ nhất minPriceVariant của sản phẩm) và quantity=1
- Server thêm vào giỏ hàng thành công -> Trả về cartCount mới -> Cập nhật badge giỏ hàng"
Mã giảm giá ,46,Danh sách mã giảm giá,Hoàn Thành,"- Danh sách mã thì hiển thị:  Tên mã, loại mã( giảm theo phần trăm/ số tiền cố định/ phí vận chuyển) , số tiền được giảm tối đa, điều kiện đơn tối thiểu, hạn dử dụng
- Mã có trạng thái như: Lưu mã, đã lưu, sắp hết hạn, đã dùng
- Có chức năng lưu mã giảm giá
","Giải pháp:
- CouponListController.java, CouponService.java, CouponDAO.java
Flow:
- Người dùng truy cập trang ""Ví voucher"" -> Gọi GET /ho-so?tab=vouchers
- Servlet lấy danh sách tất cả các coupon khả dụng và danh sách coupon đã lưu của user
- Với mỗi coupon, tính toán trạng thái đối với user hiện tại (ví dụ: đã dùng hay đã lưu)
- Trả về trang JSP hiển thị danh sách"
,47,"Hiển thị trạng thái mã: Lưu mã, đã lưu, sắp hết hạn, đã dùng",Hoàn Thành,"- Hiển thị trạng thái lưu mã, đã lưu, sắp hết hạn, đã dùng thành công 
- Khi ấn vào lưu mã, nút chuyển sang màu xanh với nhãn đã lưu: Mã đã được lưu vào ví voucher
- Có hiển thị sắp hết hạn
","Giải pháp:
- API /api/coupon/save, CouponApiController.java (handleSave)
Flow:
- Click ""Lưu mã"" -> Gửi request POST tới /api/coupon/save?couponId=X
- CouponApiController.handleSave() gọi couponService.saveCoupon(userId, couponId)
- Lưu một bản ghi vào bảng user_coupons kết nối user và coupon
- Trả về JSON { ""success"": true }. JS đổi style nút trên giao diện"
,48,Sao chéo mã giảm giá,Hoàn Thành,"- Khi ấn vào nút sao chép, sao chép được mã để copy nhanh vào ô nhập mã voucher trong trang checkout","Giải pháp:
- Frontend JavaScript sử dụng Web API navigator.clipboard
Flow:
- Người dùng nhấn nút ""Sao chép"" bên cạnh mã giảm giá
- JS copy mã vào bộ nhớ đệm thiết bị và hiển thị Toast thông báo"
Trang chủ,49,Một giao diện trực quan về tổng thể của website,Hoàn Thành,"- Hiện thị các thông tin, banner, danh mục sản phẩm, giá tốt, sản phẩm bán chạy, sản phẩm mới, tin tức một cách tổng quan để người dùng kịp nắm bắt thông tin cũng như kích thích user cảm thấy chuyển nghiệp và ấn mua hàng.","Giải pháp:
- HomeController.java (doGet), các service ProductService, FlashSaleService, PostService, CategoryService
Flow:
- Client truy cập / hoặc /home
- HomeController.doGet() lấy danh sách danh mục hoạt động, sản phẩm mới (productService.getNewestProducts(8)), sản phẩm bán chạy (productService.getBestSellingProducts(8)), flash sale đang hoạt động (flashSaleService.getActiveFlashSales()), bài viết mới (postService.getNewestPosts(4))
- Set tất cả vào request attributes và forward sang index.jsp để render"
"Giới thiệu
/GioiThieu",50,Giới thiệu được sơ lược về website,Hoàn Thành,"- Chuyển nội dung sang dạng động, cho phép Admin chỉnh sửa văn bản và hình ảnh thông qua trang admin.","Giải pháp:
- StaticPageService.java lấy nội dung trang tĩnh có type = 'about' từ bảng static_pages trong database
Flow:
- Gửi yêu cầu từ giao diện -> Controller nhận xử lý -> Cập nhật UI."
Danh mục sản phẩm,51,Menu các danh mục,Hoàn Thành,"- Hiển thị các danh mục sản phẩm và cho phép người dùng chuyển hướng khi click vào danh mục đó.
- Tự động cập nhật khi thêm/sửa/xóa danh mục trong phần Admin","Giải pháp:
- CategoryService.java và CategoryDAO.java
Flow:
- Trang JSP hoặc filter load danh sách danh mục đang hoạt động (categoryService.getAllActiveCategories())
- JSP dùng vòng lặp <c:forEach> để render các item menu tương ứng"
"Sản phẩm
/san-pham",52,"Hiển thị danh mục sản phẩm, và các sản phẩm",Hoàn Thành,- Hiển thị đầy đủ các thông tin cơ bản về sản phẩm.,"Giải pháp:
- ProductController.java (doGet), ProductService.java
Flow:
- Gửi yêu cầu từ giao diện -> Controller nhận xử lý -> Cập nhật UI."
,53,Lọc sản phẩm đa thuộc tính,Hoàn Thành,"- Cho phép chọn nhiều điều kiện lọc cùng lúc(danh mục, trạng thái, từ khóa tìm kiếm, sản phẩm nổi bật) 
- Có nút ""Áp dụng"" và ""Xóa bộ lọc"".","Giải pháp:
- Servlet ProductController.java (doGet), gọi ProductService.getProductsFiltered(...) để lấy danh sách sản phẩm theo bộ lọc và forward sang SanPham.jsp render trực tiếp ở server-side.
Flow:
- Người dùng chọn các tiêu chí lọc trên sidebar trang sản phẩm (danh mục, trạng thái, từ khóa) và chọn sắp xếp.
- Hệ thống gửi request GET tới /san-pham?categoryId=A&status=B&keyword=C&sort=D&page=1.
- ProductController bắt các tham số query, parse dữ liệu và gọi service truy vấn cơ sở dữ liệu.
- Trang SanPham.jsp nhận danh sách sản phẩm từ request attributes và hiển thị."
,54,Hiển thị đã hết hàng ngoài card sản phẩm,Hoàn Thành,"- Đã hiển thị đã  nút ""Hết hàng"" màu xám khi sản phẩm hết tôn kho","Giải pháp:
- Kiểm tra thuộc tính totalStock của sản phẩm
Flow:
- Gửi yêu cầu từ giao diện -> Controller nhận xử lý -> Cập nhật UI."
,55,"Hiển thị tag hot, nút yêu thích",Hoàn Thành,"- Đã hiển thị tag hót nếu lượt bán hơn 50
- Hiển thị chút yêu thích, khi ấn vào trái tim thì sản phẩm được thêm vào sản phẩm yêu thích","Giải pháp:
- Logic render trên JSP dựa trên product.soldCount và gọi AJAX /api/wishlist khi click trái tim
Flow:
- Gửi yêu cầu từ giao diện -> Controller nhận xử lý -> Cập nhật UI."
,56,"Bộ lọc sản phẩm: mặc định, sắp xếp theo giá, chữ cái, độ hot",Hoàn Thành,"- Người dùng có tìm kiếm nhanh sản phẩm phù hợp với nhu cầu, tiêu chí của mình.","Giải pháp:
- Tham số sort truyền vào SQL Query
Flow:
- Gửi yêu cầu từ giao diện -> Controller nhận xử lý -> Cập nhật UI."
"Chi tiết sản phẩm
/chi-tiet-san-pham",57,Hiển thị tình trạng sản phẩm,Hoàn Thành,- Hiển thị tình trạng sản phẩm còn hàng hay hết hàng theo tồn kho sản phẩm,"Giải pháp:
- ProductDetailController.java (doGet), FlashSaleService.java
Flow:
- Người dùng vào /chi-tiet-san-pham?id=X
- Servlet lấy thông tin sản phẩm và kiểm tra xem có chương trình Flash Sale nào đang áp dụng cho sản phẩm này không thông qua flashSaleService.getActiveFlashSaleByProductId(productId)
- Lấy thời gian kết thúc flash sale truyền vào attribute flashSaleEndTime
- Forward sang ChiTietSanPham.jsp chạy đồng hồ đếm ngược bằng JS"
,58,Hiển thị số lượng sản phẩm đã bán ,Hoàn Thành,- Khách hàng xem được lượt bán của sản phẩm,"Giải pháp:
- ProductDetailController.java (doGet), FlashSaleService.java
Flow:
- Người dùng vào /chi-tiet-san-pham?id=X
- Servlet lấy thông tin sản phẩm và kiểm tra xem có chương trình Flash Sale nào đang áp dụng cho sản phẩm này không thông qua flashSaleService.getActiveFlashSaleByProductId(productId)
- Lấy thời gian kết thúc flash sale truyền vào attribute flashSaleEndTime
- Forward sang ChiTietSanPham.jsp chạy đồng hồ đếm ngược bằng JS"
,59,Hiển thị flash sale,Hoàn Thành,- Khách hàng xem được sản phẩm đang được giảm bao nhiêu phần trăm và thời gian giảm giá kết thúc,"Giải pháp:
- ProductDetailController.java (doGet), FlashSaleService.java
Flow:
- Người dùng vào /chi-tiet-san-pham?id=X
- Servlet lấy thông tin sản phẩm và kiểm tra xem có chương trình Flash Sale nào đang áp dụng cho sản phẩm này không thông qua flashSaleService.getActiveFlashSaleByProductId(productId)
- Lấy thời gian kết thúc flash sale truyền vào attribute flashSaleEndTime
- Forward sang ChiTietSanPham.jsp chạy đồng hồ đếm ngược bằng JS"
,60,Hiển số lượng sản phẩm được thêm vào theo phân loại dựa trên sản phẩm tồn kho khi ấn vào dấu +(tăng số lượng sản phẩm thêm vào),Hoàn Thành,"- Truy xuất trực tiếp số lượng theo phân loại trong kho để giới hạn sản phẩm thêm vào giỏ hàng theo từng phân loại
- Hiển thị thông báo giới hạn khi người dùng ấn thêm vào quá số lượng hàng tồn kho theo phân loại","Giải pháp:
- JavaScript trên frontend kiểm tra số lượng dựa trên thuộc tính data-stock của biến thể sản phẩm đang active
Flow:
- Khi người dùng click chọn biến thể (ví dụ: Gói 500g, Hộp 1kg) -> JS đọc số lượng tồn kho của biến thể đó
- Khi người dùng nhấn nút + -> JS so sánh currentQty + 1 với tồn kho. Nếu vượt quá, vô hiệu hóa nút + và hiển thị cảnh báo ""Số lượng vượt quá hàng tồn kho"""
,61,Nút mua ngay,Hoàn Thành,- Người dùng có thể mua ngay sản phẩn và chuyển tiếp đến phần thanh toán luôn không phải theo từng bước thêm vào giỏ rồi mới thanh toán ,"Giải pháp:
- Gửi request chuyển hướng kèm tham số buyNow=true sang trang /checkout
Flow:
- Người dùng click ""Mua ngay"" -> JS redirect sang /checkout?buyNow=true&productId=X&variantId=Y&quantity=Z
- CheckoutController.doGet() nhận diện tham số buyNow == true
- Gọi cartService.createBuyNowCart(userId, productId, variantId, quantity) để sinh một giỏ hàng ảo và lưu vào session.setAttribute(""buyNowCart"", cart)
- Giao diện checkout load dữ liệu từ buyNowCart thay vì giỏ hàng chính trong Redis"
,62,Xem đánh giá sản phẩm ,Hoàn Thành,"- Người dùng đọc được đánh giá của sản phẩm
-  Thống kê đánh giá: số sao trung bình, tổng số lượt đánh giá 
- Bộ lọc danh mục bình luận:Tất cả, có hình ảnh, theo số lượng sao, phân loại                                                                                                                                                  - Trang chi tiết bình luận thì hiển thị các đánh giá của sản phẩm đó.Mỗi đánh giá hiển thị:tên người đánh giá, số sao, ngày đánh giá, nội dung, phân loại, hình ảnh, video, nút báo cáo và hữu ích
- Phân trang, không load tất cả bình luận cùng một lúc, có nút xem thêm để xem thêm các bình luận
","Giải pháp:
- ReviewApiController.java, ReviewReportController.java, ReviewService.java
Flow:
- Trang chi tiết gọi API /review-api?productId=X&page=1 -> Hiển thị danh sách đánh giá
- Người dùng nhấn ""Hữu ích"" -> Gửi POST /review-api/helpful?reviewId=X -> Tăng số lượt thích đánh giá
- Người dùng nhấn ""Báo cáo"" -> Gửi POST /api/review/report?reviewId=X -> Lưu AdminNotification báo cho Admin -> Đổi màu nút báo cáo trên UI sang đỏ"
,63,Báo cáo bình luận,Hoàn Thành,"- Nút báo cáo chuyển sang màu đỏ nêu khi được ấn vào, chuyển thành đã báo cáo  gửi về thông báo cho admin","Giải pháp:
- ReviewReportController.java, AdminNotificationService.java
Flow:
- Người dùng nhấn ""Báo cáo"" -> Gửi POST tới /api/review/report?reviewId=X
- ReviewReportController.doPost() tăng số lần báo cáo của đánh giá đó và gọi AdminNotificationService để tạo thông báo cho Admin
- Phản hồi JSON -> Giao diện đổi màu nút báo cáo sang đỏ và vô hiệu hóa nút"
,64,Hình ảnh về sản phẩm,Hoàn Thành,- Mỗi sản phẩm điều có hình ảnh minh hoạ,"Giải pháp:
- productService.getRelatedProducts(productId, categoryId, limit) gọi ProductDAO.findByCategoryIdExcluding(...)
Flow:
- Gửi yêu cầu từ giao diện -> Controller nhận xử lý -> Cập nhật UI."
,65,Gợi ý sản phẩm,Hoàn Thành,- Đang hiển thị là sản phẩm liên quan theo sản phẩm cùng danh mục,"Giải pháp:
- productService.getRelatedProducts(productId, categoryId, limit) gọi ProductDAO.findByCategoryIdExcluding(...)
Flow:
- Gửi yêu cầu từ giao diện -> Controller nhận xử lý -> Cập nhật UI."
,66,Cross-selling ,Giảm tải,"- Khách hàng mua sản phẩm lẻ, không biết nấu món gì có thể dẫn đến giá trị đơn thấp
Mong muốn: 
- Gợi ý công thức nấu các món ăn cùng nguyên liệu (rau) kèm nút thêm tất cả nguyên liệu của món vào giỏ hàng ",
,67,tùy chọn nhiều phân loại,Giảm tải,"- Khách muốn mua 1.2kg nhưng hệ thống chỉ cho chọn lẻ 500g hoặc 1kg (gây khó khăn khi đóng gói).
Mong muốn: 
- Bổ sung thêm chọn nhiều phân loại hoặc nhập số lượng lẻ (ví dụ: 1.2kg) nếu hàng không đóng gói/ hộp sẵn.",
,68,Thông tin bảo quản sản phẩm,Giảm tải,"Mong muốn
-Thêm thông tin về độ tươi và cách bảo quản của từng loại rau, củ
-Bổ sung ngày thu hoạch/nhập và hướng dẫn bảo quản cũng như hạn sử dụng khuyên dùng (vd 2-3 ngày đối với sản phẩm bất kỳ) hiển thị ở trang chi tiết ",
,69,Bảng thành phần dinh dưỡng ,Giảm tải,"Mong muốn:
- Khách hàng mua đồ hữu cơ quan tâm đến giá trị sức khỏe nên sẽ phải cập nhật thông số cụ thể (Vitamins, khoáng chất).
- Có bảng hiển thị thành phần dinh dưỡng chi tiết cho từng loại rau củ tương ứng trên trang chi tiết sản phẩm",
,70,Thông tin nguồn gốc sản phẩm,Giảm tải,"Mong muốn: 
-Thêm mục truy xuất nguồn gốc, logo, dấu chứng nhận và mã QR của nông trại
- Thêm bằng chứng chứng minh chất lượng hữu cơ",
,71,Điểm thưởng,Giảm tải,"Mong muốn: 
- Cho khách hàng biết nếu mua với số lượng bao nhiêu của sản phẩm này thì sẽ tích/thêm bao nhiêu điểm thưởng (vd: mua 1kg cà chua đạt 50đ thưởng) 
- Giúp thu hút người mua qua tâm lý tặng phẩm",
"Giỏ hàng
/gio-hang",72,Số lượng sản phẩm trong giỏ hàng,Hoàn Thành,- Hiển thị số lượng sản phẩm trong giỏ hàng,"Giải pháp:
- JavaScript quản lý DOM trên trang GioHang.jsp kết hợp gọi API /api/wishlist
Flow:
- Người dùng tích chọn checkbox sản phẩm -> JS tính tổng số tiền tạm tính của các sản phẩm được tích chọn
- Nhấn nút ""Yêu thích"" tại sản phẩm trong giỏ -> Gửi POST tới /api/wishlist?productId=X để đồng bộ"
,73,Chọn  từng sản phẩm,Hoàn Thành,- Người dùng có thể lựa chọn các sản phẩm cần mua có trong giỏ hàng.,"Giải pháp:
- JavaScript quản lý DOM trên trang GioHang.jsp kết hợp gọi API /api/wishlist
Flow:
- Người dùng tích chọn checkbox sản phẩm -> JS tính tổng số tiền tạm tính của các sản phẩm được tích chọn
- Nhấn nút ""Yêu thích"" tại sản phẩm trong giỏ -> Gửi POST tới /api/wishlist?productId=X để đồng bộ"
,74,Chọn tất cả sản phẩm,Hoàn Thành,- Người dùng có thể chọn nhanh tất cả sản phẩm trong giỏ hàng để thanh toán.,"Giải pháp:
- JavaScript quản lý DOM trên trang GioHang.jsp kết hợp gọi API /api/wishlist
Flow:
- Người dùng tích chọn checkbox sản phẩm -> JS tính tổng số tiền tạm tính của các sản phẩm được tích chọn
- Nhấn nút ""Yêu thích"" tại sản phẩm trong giỏ -> Gửi POST tới /api/wishlist?productId=X để đồng bộ"
,75,Thêm wishlist sản phẩm đang có trong giỏ hàng,Hoàn Thành,- Người dùng có thể thêm sản phẩm trong giỏ hàng vào sản phẩm iu thích nhanh chóng.,"Giải pháp:
- JavaScript quản lý DOM trên trang GioHang.jsp kết hợp gọi API /api/wishlist
Flow:
- Người dùng tích chọn checkbox sản phẩm -> JS tính tổng số tiền tạm tính của các sản phẩm được tích chọn
- Nhấn nút ""Yêu thích"" tại sản phẩm trong giỏ -> Gửi POST tới /api/wishlist?productId=X để đồng bộ"
,76,Đổi phân loại ,Giảm tải,"- Hiển tại cơ sở dữ liệu chỉ có 2 phân loại nên Hiển thị dạng tags/chips giúp người dùng chọn nhanh chóng phân loại sản phẩm.
Mong muốn:
- Tương lai nếu có nhiều phân loại sản phẩm có thể tùy biến lại thành dạng downdrop menu.",
,77,Đơn giá,Hoàn Thành,- Hiển thị đơn giá của sản phẩm,"Giải pháp:
- JavaScript kết hợp với API PUT /api/cart
Flow:
- Click nút +/- trên dòng sản phẩm trong giỏ
- JS gửi request PUT /api/cart?itemId=X&quantity=NewQty
- AddToCartController.doPut() kiểm tra tồn kho trong DB. Nếu không đủ, ném ngoại lệ thông báo số lượng tối đa. Nếu đủ, thực hiện update và trả về JSON chứa subtotal, cartCount
- JS cập nhật số lượng, số tiền dòng sản phẩm và tổng tiền giỏ hàng trên UI
- Nếu tồn kho của phân loại sản phẩm < 5, hiển thị dòng chữ cảnh báo đỏ"
,78,Số lượng sản phẩm(phân loại),Hoàn Thành,"- Tăng giảm số lượng bình thường, không giảm số lượng thấp hơn 1.
- Sẽ hiển thị thông báo khi vượt quá số lượng tồn kho của từng phân loại","Giải pháp:
- JavaScript kết hợp với API PUT /api/cart
Flow:
- Click nút +/- trên dòng sản phẩm trong giỏ
- JS gửi request PUT /api/cart?itemId=X&quantity=NewQty
- AddToCartController.doPut() kiểm tra tồn kho trong DB. Nếu không đủ, ném ngoại lệ thông báo số lượng tối đa. Nếu đủ, thực hiện update và trả về JSON chứa subtotal, cartCount
- JS cập nhật số lượng, số tiền dòng sản phẩm và tổng tiền giỏ hàng trên UI
- Nếu tồn kho của phân loại sản phẩm < 5, hiển thị dòng chữ cảnh báo đỏ"
,79,Hiển thị còn số lượng sản phẩm bé hơn 5 ,Hoàn Thành,"Nếu sản phẩm còn dưới 5 sản phẩm hiển thị ra số sản phẩm còn lại để kích cầu người mua, tâm lý sợ hết hàng khi đã thêm vòa giỏ hàng                                                                                                                                       - Khi số lượng tồn kho bé hơn 5 thì tự động cập nhật chỉ còn X sản phẩm
- Mục thêm sản phẩm (+) trong giỏ hàng: nếu chọn đủ số lượng còn lại trong giỏ hàng cũng hiển thông báo, số lượng bạn chọn đã đạt mức tối da của sản phẩm này. 
","Giải pháp:
- JavaScript kết hợp với API PUT /api/cart
Flow:
- Click nút +/- trên dòng sản phẩm trong giỏ
- JS gửi request PUT /api/cart?itemId=X&quantity=NewQty
- AddToCartController.doPut() kiểm tra tồn kho trong DB. Nếu không đủ, ném ngoại lệ thông báo số lượng tối đa. Nếu đủ, thực hiện update và trả về JSON chứa subtotal, cartCount
- JS cập nhật số lượng, số tiền dòng sản phẩm và tổng tiền giỏ hàng trên UI
- Nếu tồn kho của phân loại sản phẩm < 5, hiển thị dòng chữ cảnh báo đỏ"
,80,Số tiền,Hoàn Thành,- Tổng số tiền của số lượng sản phẩm đơn giá,"Giải pháp:
- JavaScript kết hợp với API PUT /api/cart
Flow:
- Click nút +/- trên dòng sản phẩm trong giỏ
- JS gửi request PUT /api/cart?itemId=X&quantity=NewQty
- AddToCartController.doPut() kiểm tra tồn kho trong DB. Nếu không đủ, ném ngoại lệ thông báo số lượng tối đa. Nếu đủ, thực hiện update và trả về JSON chứa subtotal, cartCount
- JS cập nhật số lượng, số tiền dòng sản phẩm và tổng tiền giỏ hàng trên UI
- Nếu tồn kho của phân loại sản phẩm < 5, hiển thị dòng chữ cảnh báo đỏ"
,81,Tổng số tiền,Hoàn Thành,- Hiển thị tổng số tiền sản phẩm(chưa tính voucher giảm giá),"Giải pháp:
- API DELETE /api/cart?itemId=X
- CartController lấy gợi ý sản phẩm bán chạy loại trừ các sản phẩm đã có trong giỏ hàng
Flow:
- Gửi yêu cầu từ giao diện -> Controller nhận xử lý -> Cập nhật UI."
,82,Thao tác,Hoàn Thành,- Có nút xóa sản phẩm khi không cần đến sản phẩm đó nữa,"Giải pháp:
- API DELETE /api/cart?itemId=X
- CartController lấy gợi ý sản phẩm bán chạy loại trừ các sản phẩm đã có trong giỏ hàng
Flow:
- Gửi yêu cầu từ giao diện -> Controller nhận xử lý -> Cập nhật UI."
,83,Gợi ý giỏ hàng,Hoàn Thành,"- Thêm tính năng ""Mua định kỳ"" hoặc là gợi ý giỏ hàng của tuần trước","Giải pháp:
- API DELETE /api/cart?itemId=X
- CartController lấy gợi ý sản phẩm bán chạy loại trừ các sản phẩm đã có trong giỏ hàng
Flow:
- Gửi yêu cầu từ giao diện -> Controller nhận xử lý -> Cập nhật UI."
,84,Áp dụng điểm thưởng ,Giảm tải,"Mong muốn:
- Hiển thị tổng số điểm dự kiến nhận được cho cả đơn hàng, là nơi cho phép khách hàng chọn Dùng điểm để giảm giá trực tiếp vào đơn hàng Hiển tại.",
,85,Nút Mua hàng,Hoàn Thành,- Khi ấn nút mua hàng sẽ chuyển tiếp sang trang thanh toán.,"Giải pháp:
- Chuyển hướng sang /checkout
Flow:
- Gửi yêu cầu từ giao diện -> Controller nhận xử lý -> Cập nhật UI."
"Thanh toán
/checkout",86,"Thêm thông tin, địa chỉ mới ",Hoàn Thành,"- Có tích hợp validation SĐT, địa chỉ, đề phòng user nhập sai/thiếu
- Đồng bộ với sổ địa chỉ.","Giải pháp:
- CheckoutController.doGet() chuẩn bị dữ liệu, forward tới ThanhToan.jsp
Flow:
- Người dùng truy cập /checkout
- Servlet lấy danh sách địa chỉ đã lưu (addressService.getAddressesByUserId), nạp thông tin giỏ hàng hiện tại, nạp danh sách phương thức thanh toán
- Hiển thị thông tin lên giao diện. Người dùng có thể điền địa chỉ mới (nút Thêm địa chỉ gọi API POST lưu DB)"
,87,Sản phẩm đặt mua,Hoàn Thành,- Hiển thị sản phẩm đã được chọn tại phần giỏ hàng,"Giải pháp:
- CheckoutController.doGet() chuẩn bị dữ liệu, forward tới ThanhToan.jsp
Flow:
- Người dùng truy cập /checkout
- Servlet lấy danh sách địa chỉ đã lưu (addressService.getAddressesByUserId), nạp thông tin giỏ hàng hiện tại, nạp danh sách phương thức thanh toán
- Hiển thị thông tin lên giao diện. Người dùng có thể điền địa chỉ mới (nút Thêm địa chỉ gọi API POST lưu DB)"
,88,Ghi chú,Hoàn Thành,- User nhập các ghi chú cho đơn hàng,"Giải pháp:
- CheckoutController.doGet() chuẩn bị dữ liệu, forward tới ThanhToan.jsp
Flow:
- Người dùng truy cập /checkout
- Servlet lấy danh sách địa chỉ đã lưu (addressService.getAddressesByUserId), nạp thông tin giỏ hàng hiện tại, nạp danh sách phương thức thanh toán
- Hiển thị thông tin lên giao diện. Người dùng có thể điền địa chỉ mới (nút Thêm địa chỉ gọi API POST lưu DB)"
,89,Phương thức thanh toán COD,Hoàn Thành,"- Thông báo thành công, và chuyển đơn cho admin quản lý xác nhận đơn trước rồi mới xử lý và giao hàng.","Giải pháp:
- PlaceOrderController.java tạo đơn hàng với trạng thái PENDING
Flow:
- Người dùng chọn phương thức COD, click đặt hàng -> Gửi request POST tới /place-order
- PlaceOrderController.doPost() gọi orderService.createOrder(...)
- Tạo đơn hàng và các order items trong DB. Trạng thái thanh toán mặc định là UNPAID
- Trả về JSON chứa redirectUrl = ""/order-confirmation?id=OrderId"""
,90,Phương thức thanh toán Online,Hoàn Thành,"- Tích hợp các api thanh toán ngân hàng,sepay qr, ví điện tử, thẻ tín dụng,.. Để người dùng tùy chọn phương thức thanh toán.
- Khi thanh toán online thanh công, lập tức xử lý đơn và giao hàng, không cần xác nhận lại đơn hàng.
Cần hiển thị mã QR code tự động điền mọi thông tin đơn hàng (giá tiền, nội dung,..) để khách hàng quét mã thanh toán","Giải pháp:
- PlaceOrderController.java, PaymentService.java, SepayProvider.java, Webhook IPN PaymentIpnController.java
Flow:
- Khách chọn thanh toán Chuyển khoản ngân hàng -> Gửi POST /place-order
- PlaceOrderController gọi paymentService.createPayment(order)
- SepayProvider tạo mã QR VietQR với nội dung chuyển khoản là mã đơn hàng đặc trưng (FARMILY_DH_OrderId) và số tiền chính xác của đơn hàng
- Trả về JSON chứa link QR hoặc form submit thanh toán -> Giao diện checkout hiển thị popup mã QR cho khách quét
- Khách chuyển khoản thành công -> Ngân hàng gửi tin nhắn -> Cổng SePay bắt giao dịch -> SePay gọi Webhook IPN gửi dữ liệu JSON về /api/payment/ipn
- PaymentIpnController xác thực header X-Secret-Key, kiểm tra mã đơn hàng và số tiền giao dịch
- Gọi orderService.updateOrderStatus(orderId, ""CONFIRMED"") và cập nhật trạng thái thanh toán thành PAID
- Giao diện của khách tự động chuyển sang trang ""Đặt hàng thành công"""
,91,Tóm tắt đơn hàng,Hoàn Thành,"- Hiển thị các thông tin: tạm tính, tổng tiền, phí vận chuyển, giảm giá, tổng cộng","Giải pháp:
- Tích hợp API của Giao Hàng Nhanh (GhnService.java), áp dụng mã giảm giá bằng CouponApiController.java
Flow:
- Tính phí vận chuyển**: Người dùng chọn Tỉnh/Quận/Phường -> JS gửi POST tới /api/ghn/calculate-fee với body toDistrictId và toWardCode -> GhnService.calculateFee() gọi API GHN -> Trả về phí vận chuyển -> JS cập nhật số tiền ship và cộng vào tổng tiền
- Áp dụng mã giảm giá**: Người dùng nhập/chọn mã -> Gửi POST /api/coupon/apply -> CouponService kiểm tra điều kiện đơn tối thiểu (minOrderValue), thời hạn sử dụng. Nếu hợp lệ, tính số tiền được giảm -> Set vào session attribute appliedDiscountAmount -> Trả về JSON -> JS trừ trực tiếp tiền giảm giá trên UI"
,92,Phí vận chuyển,Hoàn Thành,- Tích hợp các api của Giao hàng nhanh  để tính giá phí vận chuyển,"Giải pháp:
- Tích hợp API của Giao Hàng Nhanh (GhnService.java), áp dụng mã giảm giá bằng CouponApiController.java
Flow:
- Tính phí vận chuyển**: Người dùng chọn Tỉnh/Quận/Phường -> JS gửi POST tới /api/ghn/calculate-fee với body toDistrictId và toWardCode -> GhnService.calculateFee() gọi API GHN -> Trả về phí vận chuyển -> JS cập nhật số tiền ship và cộng vào tổng tiền
- Áp dụng mã giảm giá**: Người dùng nhập/chọn mã -> Gửi POST /api/coupon/apply -> CouponService kiểm tra điều kiện đơn tối thiểu (minOrderValue), thời hạn sử dụng. Nếu hợp lệ, tính số tiền được giảm -> Set vào session attribute appliedDiscountAmount -> Trả về JSON -> JS trừ trực tiếp tiền giảm giá trên UI"
,93,Mã giảm giá,Hoàn Thành,"- Khi ấn vào mã giảm giá , thì Hiển thị ra ô nhập mã giảm giá và ấn áp dụng
- Gợi ý các mã giảm giá khách hàng đủ điều kiện sử dụng","Giải pháp:
- Tích hợp API của Giao Hàng Nhanh (GhnService.java), áp dụng mã giảm giá bằng CouponApiController.java
Flow:
- Tính phí vận chuyển**: Người dùng chọn Tỉnh/Quận/Phường -> JS gửi POST tới /api/ghn/calculate-fee với body toDistrictId và toWardCode -> GhnService.calculateFee() gọi API GHN -> Trả về phí vận chuyển -> JS cập nhật số tiền ship và cộng vào tổng tiền
- Áp dụng mã giảm giá**: Người dùng nhập/chọn mã -> Gửi POST /api/coupon/apply -> CouponService kiểm tra điều kiện đơn tối thiểu (minOrderValue), thời hạn sử dụng. Nếu hợp lệ, tính số tiền được giảm -> Set vào session attribute appliedDiscountAmount -> Trả về JSON -> JS trừ trực tiếp tiền giảm giá trên UI"
